name,phone,cpf,sexo,state,city
Helena Gonçalves,+55 84 3795 4521,173.486.259-91,F,('PE', 'Pernambuco'),da Mota
Kamilly Ramos,+55 (084) 1419-1042,871.092.536-86,M,('GO', 'Goiás'),Rodrigues
Theo Gonçalves,+55 11 0392 1747,052.716.843-26,M,('RO', 'Rondônia'),Rezende de da Rosa
Ana Laura Azevedo,81 7712 6969,438.709.125-88,M,('RN', 'Rio Grande do Norte'),Nunes
Gustavo Cardoso,21 3423 5624,317.640.852-80,F,('PA', 'Pará'),Moraes do Norte
Maria Luiza da Cruz,41 9062-4585,680.723.459-74,F,('PB', 'Paraíba'),Rodrigues
Júlia Souza,(011) 3281-9537,802.147.369-03,F,('RN', 'Rio Grande do Norte'),Viana
Eduardo da Conceição,84 9986-0418,413.729.086-50,F,('PB', 'Paraíba'),Rodrigues da Prata
Leonardo Ramos,(084) 5454 4415,419.632.058-98,M,('PR', 'Paraná'),Santos
Elisa Pinto,+55 (041) 0661-4241,368.059.471-20,M,('GO', 'Goiás'),Teixeira da Praia
Ryan Castro,0800-178-0437,708.351.629-40,F,('RR', 'Roraima'),Nunes da Serra
Maria Clara Moraes,+55 51 6626 4480,256.317.948-37,F,('DF', 'Distrito Federal'),Cardoso
Matheus Costa,(041) 8325 8408,632.804.179-96,F,('PB', 'Paraíba'),Mendes
Dr. Heitor Barbosa,+55 41 4971-1867,948.653.127-73,F,('SC', 'Santa Catarina'),da Cunha de Lima
Agatha Melo,11 3530-8343,723.410.695-25,F,('RJ', 'Rio de Janeiro'),Sales
Vitória Nunes,+55 (031) 4834 6714,169.025.783-03,M,('TO', 'Tocantins'),Teixeira
Kaique Mendes,+55 (031) 3430 5896,036.721.849-69,M,('RS', 'Rio Grande do Sul'),Martins das Flores
Ana Vitória Fogaça,0900-276-8233,932.804.156-24,F,('SE', 'Sergipe'),da Paz
Isabelly da Cruz,+55 84 4330 3053,741.209.683-40,M,('GO', 'Goiás'),Araújo do Oeste
Isaac Pereira,+55 41 0171-3474,164.502.783-07,M,('RO', 'Rondônia'),Freitas
Manuela Gomes,51 4862 7325,246.395.087-00,F,('ES', 'Espírito Santo'),Freitas Verde
Murilo Alves,+55 (051) 4236-6536,142.589.063-60,M,('AL', 'Alagoas'),Campos
Henrique Melo,31 9312 7526,843.251.907-32,F,('PI', 'Piauí'),Ferreira
Daniel da Rosa,+55 71 6239-7353,972.140.683-03,F,('RS', 'Rio Grande do Sul'),Caldeira de Nascimento
Leonardo Porto,+55 (041) 8700-4312,659.378.420-65,F,('MA', 'Maranhão'),Cardoso de Rezende
Fernanda Ferreira,+55 (041) 6590-2939,657.039.482-74,F,('SE', 'Sergipe'),Novaes
Isis da Rosa,(071) 8978 9191,857.932.610-95,F,('PA', 'Pará'),Nogueira
Davi Luiz Santos,51 4116 3098,546.280.197-11,M,('BA', 'Bahia'),Viana da Mata
Sr. Luiz Miguel Jesus,81 7707-7257,841.209.367-40,M,('SP', 'São Paulo'),da Costa
Davi Lucca Barros,+55 41 4737 5337,573.408.219-88,M,('SC', 'Santa Catarina'),Silveira
Dr. Samuel Alves,+55 (071) 2621 3690,096.124.587-58,M,('MS', 'Mato Grosso do Sul'),Caldeira dos Dourados
Pedro Henrique Souza,(081) 7461-6547,956.480.712-30,M,('BA', 'Bahia'),Aragão de Novaes
Maria Eduarda Farias,51 4030 1097,845.172.369-19,M,('RN', 'Rio Grande do Norte'),Pinto do Oeste
Pietro Silva,+55 (011) 5677 1730,293.806.154-42,M,('BA', 'Bahia'),da Rocha
Cecília Silveira,11 4148-6342,869.130.574-66,F,('ES', 'Espírito Santo'),Azevedo
Sr. João Guilherme Castro,0800-571-3089,382.596.470-10,F,('AP', 'Amapá'),da Rosa do Oeste
Stephany da Luz,+55 (011) 1848 5140,291.605.847-85,M,('AP', 'Amapá'),Souza
Marcela Novaes,+55 61 2711-8953,253.460.798-74,F,('BA', 'Bahia'),Jesus
Eduardo Silva,21 6789-9759,516.079.324-07,F,('PB', 'Paraíba'),Araújo
Dra. Stephany Fernandes,+55 (051) 6535 5741,807.245.169-30,M,('RR', 'Roraima'),Caldeira do Campo
Eloah da Cunha,(011) 2647-3626,701.369.285-95,M,('AM', 'Amazonas'),da Cruz
Melissa Lopes,+55 (071) 5845 6212,145.078.296-58,F,('AL', 'Alagoas'),Lopes do Norte
Davi Sales,84 8045-5262,580.473.619-10,M,('ES', 'Espírito Santo'),Nunes do Sul
Eduardo Gomes,+55 31 0667-1161,305.472.619-34,M,('SE', 'Sergipe'),Moraes de Goiás
Dr. Marcelo Novaes,0800 505 9893,391.846.527-64,F,('DF', 'Distrito Federal'),Azevedo de Goiás
Pietro Oliveira,11 8317 2665,485.203.619-51,F,('PI', 'Piauí'),Porto
Stephany Moraes,21 9400-3141,146.529.307-80,F,('PR', 'Paraná'),da Costa do Norte
Heitor da Mota,(011) 8510 8727,790.562.348-38,F,('RO', 'Rondônia'),Moraes de Cardoso
Mariane Pires,(041) 3887 6915,875.094.213-14,M,('AC', 'Acre'),Mendes Alegre
Emilly Aragão,+55 51 9553 9276,749.251.386-00,F,('CE', 'Ceará'),Vieira de Ribeiro
Luiz Miguel da Rocha,0900 516 9743,307.189.246-22,F,('RR', 'Roraima'),da Paz da Mata
Igor Moraes,+55 11 9884-5618,253.479.180-04,F,('AL', 'Alagoas'),Alves do Norte
Luana Azevedo,41 9402 6061,021.439.587-14,M,('TO', 'Tocantins'),Costela
Eduarda Teixeira,+55 (041) 2324 6270,912.685.370-12,F,('GO', 'Goiás'),Gomes
Larissa Fogaça,(071) 1907-8148,918.346.527-82,F,('PE', 'Pernambuco'),Campos de Barbosa
Isabella da Mata,51 7781 6381,689.730.524-38,M,('AM', 'Amazonas'),Viana de Dias
Maria Julia da Mota,+55 (084) 1706-5353,471.350.629-06,F,('SE', 'Sergipe'),Barros de Minas
Sra. Maysa Moreira,+55 (084) 4958 1012,837.420.596-29,M,('SE', 'Sergipe'),da Conceição do Sul
Laura da Costa,(021) 2404-8025,297.183.540-50,F,('SP', 'São Paulo'),Silveira da Serra
Enzo Gabriel da Luz,(021) 5856 0869,409.315.762-61,F,('AP', 'Amapá'),Viana
Augusto Correia,0300-152-4611,250.149.378-88,M,('SE', 'Sergipe'),Barros
Sr. Thiago Souza,81 8683-5830,098.462.375-29,M,('SE', 'Sergipe'),Pereira Paulista
Dr. João Guilherme Cavalcanti,+55 (021) 9181-7465,536.914.072-34,M,('ES', 'Espírito Santo'),Moraes de Pinto
Olivia Pinto,31 7041-9006,978.516.304-01,M,('RJ', 'Rio de Janeiro'),Cardoso
Lívia da Cruz,(061) 0100 7247,526.910.874-76,M,('TO', 'Tocantins'),Carvalho de Goiás
Yasmin Cunha,+55 31 8966-0191,782.063.154-62,M,('RJ', 'Rio de Janeiro'),Azevedo
Bruna Castro,(071) 0098 6339,843.257.061-35,M,('ES', 'Espírito Santo'),Alves
Natália Carvalho,+55 (084) 9786-3994,237.045.896-83,F,('RR', 'Roraima'),Novaes
Igor Farias,(021) 7866 8670,532.049.768-74,F,('PA', 'Pará'),Lopes
Antônio Novaes,+55 71 6302 5286,961.534.708-66,M,('AC', 'Acre'),Martins
Olivia Nogueira,+55 (011) 7205-9093,421.853.790-97,F,('RS', 'Rio Grande do Sul'),Barbosa Grande
Breno Rocha,(031) 7876-6252,216.935.740-80,M,('MT', 'Mato Grosso'),Viana de Melo
Sra. Ana Luiza Teixeira,(011) 8506-2796,376.849.251-64,M,('AL', 'Alagoas'),Moraes da Mata
Natália Mendes,+55 (041) 7060-1817,304.178.965-57,M,('BA', 'Bahia'),Jesus das Flores
Kamilly Nunes,(071) 2653 5267,785.921.640-01,F,('GO', 'Goiás'),Martins Verde
Dr. Calebe Pinto,+55 81 6186 2184,516.807.293-30,F,('AC', 'Acre'),Souza das Pedras
Maria Eduarda Aragão,(051) 5880 2604,364.789.501-66,F,('AP', 'Amapá'),Farias
Ana Sophia Lopes,0300-708-6158,973.524.861-19,M,('AP', 'Amapá'),Martins
Srta. Isabel Almeida,31 5384-8397,940.635.217-61,M,('RO', 'Rondônia'),Nascimento de Barbosa
Maria Vitória Cunha,0900-074-2538,729.341.568-00,F,('PA', 'Pará'),Barros
João Pedro Cunha,(051) 0401-8259,376.501.928-30,F,('RN', 'Rio Grande do Norte'),Almeida
Vitor Gabriel Carvalho,+55 (031) 1394-0898,237.941.086-04,M,('AC', 'Acre'),Cardoso do Amparo
Srta. Ana Vitória Costa,+55 (031) 8237 3297,467.951.328-46,M,('PA', 'Pará'),Viana
Sra. Beatriz Rocha,(041) 6640 0566,386.571.409-93,F,('SP', 'São Paulo'),das Neves
Sr. Marcos Vinicius Moraes,0800-192-7313,569.302.814-33,M,('PB', 'Paraíba'),Freitas
Ana Clara Lopes,(011) 5227 4599,203.469.715-43,F,('PB', 'Paraíba'),Nunes
Sr. Enzo Gabriel Rocha,0800-165-3420,137.406.298-78,M,('GO', 'Goiás'),Novaes de Goiás
Sr. Levi Souza,+55 71 3426 7813,293.068.715-03,M,('BA', 'Bahia'),da Luz
Gabriela Pinto,+55 (061) 0752-6351,617.045.238-26,F,('BA', 'Bahia'),Mendes
Arthur Cardoso,(061) 2067-2644,873.612.504-08,M,('MG', 'Minas Gerais'),das Neves de Goiás
Ana Vitória Farias,+55 31 1680-5855,458.937.120-05,F,('AC', 'Acre'),Martins
Melissa Correia,11 2189 5155,965.031.874-75,M,('RS', 'Rio Grande do Sul'),Araújo Grande
Maria Julia Dias,(021) 2542-2277,213.587.469-82,F,('SP', 'São Paulo'),Campos
Ana Julia Rodrigues,+55 11 1767 0986,840.256.379-10,M,('AL', 'Alagoas'),da Conceição
Isabella da Cunha,(011) 8855-8852,920.365.871-86,M,('MT', 'Mato Grosso'),Duarte do Galho
Pedro Henrique Alves,+55 41 9474-7030,869.247.053-83,F,('GO', 'Goiás'),Novaes
Joaquim Pinto,(011) 3518 6798,347.856.129-91,M,('RN', 'Rio Grande do Norte'),Viana
Catarina Cardoso,0300-102-8904,692.873.051-02,F,('SP', 'São Paulo'),da Conceição da Serra
Maria Luiza Barbosa,71 9656 1505,742.869.035-83,M,('PB', 'Paraíba'),Pires do Sul
Maria Sophia Farias,0300 167 1185,820.649.713-78,F,('DF', 'Distrito Federal'),Campos da Praia
Paulo Lima,+55 31 9546-9935,146.059.728-11,F,('DF', 'Distrito Federal'),Gonçalves
Ana Júlia Lopes,+55 (084) 9058-9615,014.632.875-26,F,('RO', 'Rondônia'),Caldeira de Freitas
Dra. Julia Lima,+55 (031) 4521 5549,768.149.203-87,F,('AC', 'Acre'),das Neves da Serra
Luiz Fernando Jesus,(071) 5114-5074,319.250.764-07,F,('SP', 'São Paulo'),Castro da Mata
Sophia da Costa,0300-818-0407,462.513.709-80,F,('PA', 'Pará'),Gonçalves de Fernandes
João Gabriel Rodrigues,0900 159 2808,849.731.520-05,F,('RR', 'Roraima'),Campos do Amparo
Clara Teixeira,+55 (084) 5331 3827,248.761.593-19,M,('TO', 'Tocantins'),Barbosa de Goiás
Samuel Porto,+55 61 9773 8464,825.473.691-09,F,('AP', 'Amapá'),das Neves de Silveira
Dra. Fernanda Castro,21 6578-3908,680.921.573-59,M,('GO', 'Goiás'),da Rocha de Minas
Sra. Maria Alice Carvalho,51 9377 5567,012.473.689-04,M,('SC', 'Santa Catarina'),Costela
Julia Rocha,21 2218 6121,635.807.129-77,F,('SC', 'Santa Catarina'),Duarte da Serra
Sr. Thomas Pereira,51 5617 2315,584.103.967-93,F,('BA', 'Bahia'),Farias da Mata
Caroline Moreira,0300-959-8651,908.351.647-48,F,('MA', 'Maranhão'),Fogaça
Clarice Aragão,51 0123 4845,687.495.310-93,M,('AL', 'Alagoas'),Lima da Praia
Dra. Julia Moreira,(021) 3255-6951,865.241.903-51,F,('MT', 'Mato Grosso'),Ribeiro das Flores
Fernanda Nascimento,61 8779-6654,970.513.284-41,F,('CE', 'Ceará'),Freitas do Oeste
Sra. Luiza da Conceição,(081) 1130 7811,479.631.582-91,F,('ES', 'Espírito Santo'),Pinto
Camila das Neves,(071) 0608 6928,843.576.210-62,M,('SP', 'São Paulo'),Carvalho de Alves
Catarina Lima,(071) 6644 1442,532.498.671-28,F,('RO', 'Rondônia'),Pinto
Sr. Rodrigo da Luz,(061) 9847 1476,871.902.645-58,F,('PA', 'Pará'),Farias do Sul
Isaac Cardoso,0300 834 9756,897.632.405-65,M,('PI', 'Piauí'),da Mota
Pietro Souza,84 0989-1168,760.254.981-30,F,('AL', 'Alagoas'),da Costa das Flores
Sra. Caroline da Cruz,+55 (041) 4843-0475,426.180.359-33,M,('PI', 'Piauí'),Cavalcanti de Rezende
Yuri da Cruz,+55 (084) 3605 6122,946.027.531-16,F,('PR', 'Paraná'),Dias de Goiás
Sophie Ribeiro,51 4938 5927,473.560.182-17,M,('RS', 'Rio Grande do Sul'),Rezende de Carvalho
Gustavo Rocha,+55 (071) 1553 7697,359.480.261-24,F,('RS', 'Rio Grande do Sul'),Ribeiro Verde
Maitê Silveira,+55 (041) 3679-8775,159.407.638-39,F,('CE', 'Ceará'),Moura
Alexandre da Costa,(041) 7253-3812,172.835.046-80,F,('MA', 'Maranhão'),Barros
Miguel Lopes,+55 (021) 2703 8251,170.892.364-04,F,('MG', 'Minas Gerais'),Rocha de Goiás
Srta. Vitória Nascimento,31 9425 9824,912.873.054-23,M,('SC', 'Santa Catarina'),Viana da Prata
Srta. Laura Pires,0800-697-6630,306.584.179-75,F,('SC', 'Santa Catarina'),Azevedo do Campo
Emilly Aragão,+55 (011) 3673 1326,321.746.805-80,F,('RR', 'Roraima'),Cunha das Pedras
Dr. Benício Cunha,21 5833-0643,634.507.182-07,M,('PI', 'Piauí'),Rodrigues
Diego Barros,(041) 7641-6704,204.139.865-51,F,('GO', 'Goiás'),Alves de Araújo
Vitor Gabriel Ferreira,+55 84 5668 2179,837.604.195-93,M,('BA', 'Bahia'),Monteiro do Campo
Ana Fernandes,84 6934 6135,351.970.684-93,F,('MA', 'Maranhão'),da Cruz
Elisa Sales,(041) 9139 8493,512.038.476-53,F,('ES', 'Espírito Santo'),Nunes
Ana Laura Duarte,71 7052-6815,063.741.289-31,M,('SP', 'São Paulo'),Vieira da Prata
Stephany Fogaça,21 7172-9451,764.583.092-10,F,('SC', 'Santa Catarina'),Ferreira
Calebe Melo,+55 (021) 8076 1902,879.435.016-75,M,('DF', 'Distrito Federal'),da Mota de Goiás
Dr. Kevin Cardoso,0300 504 3117,752.418.690-85,F,('PR', 'Paraná'),da Rosa
Ryan da Paz,+55 (031) 0109-5240,739.641.850-00,M,('BA', 'Bahia'),Souza
Luiza Viana,+55 51 3446 2815,149.372.586-64,F,('SE', 'Sergipe'),Correia dos Dourados
Srta. Ana Sophia Cardoso,0500 347 3905,749.650.132-80,F,('GO', 'Goiás'),Cunha dos Dourados
Vitor Gabriel da Cunha,+55 81 6871-6117,273.918.650-95,M,('MT', 'Mato Grosso'),da Mata Grande
Samuel Carvalho,(031) 7337 6235,390.526.817-59,F,('RN', 'Rio Grande do Norte'),Santos Paulista
Lorenzo da Cruz,84 7275-6505,934.587.621-91,M,('MG', 'Minas Gerais'),Viana
Dra. Raquel Costa,0900-371-2731,146.892.037-50,F,('AC', 'Acre'),Pinto do Amparo
Sr. Nicolas Cavalcanti,(021) 5709-1111,056.379.241-80,M,('AC', 'Acre'),Sales de Silveira
Dra. Emanuelly Gonçalves,51 4792 5559,301.547.826-53,F,('PE', 'Pernambuco'),Lima
Pedro Miguel Lopes,81 1878 8796,187.046.935-66,M,('SC', 'Santa Catarina'),Nascimento da Mata
Arthur Santos,(041) 6961 5708,247.609.815-94,F,('SC', 'Santa Catarina'),Pires
Maysa Rocha,+55 84 7308-8354,789.205.164-30,M,('ES', 'Espírito Santo'),Aragão
Kamilly da Mata,51 0854 3608,241.369.705-52,F,('DF', 'Distrito Federal'),Duarte
Dr. Raul Melo,(031) 7249 8238,650.498.723-83,F,('MS', 'Mato Grosso do Sul'),Rezende de Oliveira
Mirella Pires,71 9611-3301,123.867.540-90,M,('MA', 'Maranhão'),da Mota das Flores
Kevin Pinto,+55 (031) 8755 2321,350.972.648-00,M,('DF', 'Distrito Federal'),da Rosa de Monteiro
Diego Rezende,41 9767 0314,584.170.369-20,M,('AM', 'Amazonas'),Nogueira da Serra
Rafael Duarte,+55 11 2046 7640,576.820.149-11,F,('SC', 'Santa Catarina'),Novaes de Oliveira
Heloísa Moreira,11 0790-6693,263.574.801-26,M,('MG', 'Minas Gerais'),Sales
Enzo Fogaça,(031) 5512 8873,742.108.956-01,M,('RO', 'Rondônia'),Pires
Luiz Felipe Silva,+55 (084) 7354 2025,391.074.856-20,M,('RR', 'Roraima'),Mendes
João Moraes,81 6182 5098,745.162.890-67,M,('AL', 'Alagoas'),Ribeiro de Moreira
Yasmin Ferreira,61 6659-4136,284.051.376-53,F,('TO', 'Tocantins'),Gomes
Eduardo Rezende,0800 930 7890,178.295.603-40,M,('MT', 'Mato Grosso'),Almeida
Juliana Santos,+55 (081) 8638 9702,325.186.794-64,F,('DF', 'Distrito Federal'),da Cruz de Ribeiro
Pietra Sales,+55 (071) 0721 5464,529.810.673-03,F,('RJ', 'Rio de Janeiro'),da Rocha das Flores
Isabelly Cardoso,+55 (071) 5494 4654,307.165.982-21,F,('MA', 'Maranhão'),Ribeiro
Ryan Pires,+55 (061) 4710-5669,820.143.976-78,M,('AL', 'Alagoas'),Cardoso
Raquel Rezende,61 0733-3418,064.875.132-53,F,('DF', 'Distrito Federal'),Moraes das Flores
Nina Mendes,+55 81 9330-2685,530.671.294-07,F,('BA', 'Bahia'),Silva
Dr. Gabriel Freitas,(041) 7911-1398,436.971.208-40,M,('SE', 'Sergipe'),Martins das Pedras
Nathan da Rocha,+55 (051) 9541 0550,706.289.135-59,F,('AP', 'Amapá'),Mendes
Sr. Noah Rodrigues,51 0661 5293,280.963.175-12,F,('AP', 'Amapá'),das Neves
Isabelly Cunha,+55 71 9332 3714,150.674.398-66,F,('MS', 'Mato Grosso do Sul'),Ferreira
Davi Lucca Cavalcanti,(084) 4084-3092,348.291.570-97,M,('BA', 'Bahia'),da Paz Verde
Bernardo Farias,+55 11 3989 7685,219.376.048-96,M,('AM', 'Amazonas'),Duarte da Prata
Alexia Pires,(011) 9534 1919,138.046.527-35,M,('AC', 'Acre'),Dias do Campo
Brenda Jesus,+55 41 3567-6515,816.057.943-84,M,('RN', 'Rio Grande do Norte'),Martins
Amanda Cardoso,71 4418 4886,071.856.243-71,M,('PE', 'Pernambuco'),Pereira de Moura
Leonardo Cardoso,+55 84 8329-6429,401.328.795-14,M,('RJ', 'Rio de Janeiro'),da Mota de da Rosa
Emanuel Peixoto,+55 11 7773 1378,489.256.107-01,M,('AC', 'Acre'),da Luz
Bárbara Carvalho,+55 (041) 1238-4272,629.185.073-77,M,('SP', 'São Paulo'),Gomes
Paulo Silva,41 6775 8541,458.130.726-08,F,('SE', 'Sergipe'),Carvalho da Prata
Miguel Ribeiro,+55 31 7729-6932,485.607.391-57,F,('MS', 'Mato Grosso do Sul'),Fogaça do Galho
Maria Alice da Rosa,(071) 0594-7952,863.401.925-05,F,('SC', 'Santa Catarina'),Castro de da Paz
Lara Oliveira,71 2941 4967,731.054.682-26,F,('AC', 'Acre'),Carvalho Verde
Felipe Santos,+55 84 5399-5338,076.128.459-11,F,('RN', 'Rio Grande do Norte'),Novaes de Minas
Maria Fogaça,(051) 7975-5484,230.587.641-62,F,('AP', 'Amapá'),Rezende
Lavínia Cardoso,+55 (051) 9559 0728,410.976.328-22,F,('AL', 'Alagoas'),da Mota
Cecília da Cunha,81 8375 1062,198.576.234-09,M,('PI', 'Piauí'),Pinto
João Lucas Moreira,(051) 2741-1358,901.857.236-59,M,('PB', 'Paraíba'),Cunha das Pedras
Francisco das Neves,31 3367 4707,046.397.125-61,F,('AC', 'Acre'),Costa do Amparo
Yago Nascimento,(041) 5766 7202,961.423.570-52,M,('MS', 'Mato Grosso do Sul'),Gomes de Nunes
João Viana,(041) 3252-8779,417.935.286-91,F,('PE', 'Pernambuco'),Ferreira
Ana Clara Freitas,+55 (051) 5093 0410,783.469.521-55,M,('PA', 'Pará'),Ferreira
Pedro Henrique Caldeira,(084) 6825 2796,724.609.158-02,F,('SP', 'São Paulo'),Ribeiro Grande
Dra. Isadora da Paz,+55 (081) 1574 5454,065.498.723-83,M,('AL', 'Alagoas'),Nogueira de Moraes
Emanuelly Barbosa,+55 (081) 2538 4358,075.483.961-39,F,('PB', 'Paraíba'),Cunha da Mata
Giovanna da Cunha,(021) 5345-6885,789.243.561-19,F,('GO', 'Goiás'),Monteiro de Cunha
Isaac Mendes,(081) 7040-9004,893.417.506-01,F,('ES', 'Espírito Santo'),Viana do Sul
Leonardo Dias,84 7526-5572,215.783.964-09,F,('GO', 'Goiás'),Costela
Dr. Diego da Rosa,+55 51 5135 2560,068.159.437-39,M,('SC', 'Santa Catarina'),Vieira do Campo
Yuri Pires,(011) 0564-3355,758.413.692-37,F,('MA', 'Maranhão'),Costa
Mariana Silva,(021) 0746 8290,879.120.365-12,F,('GO', 'Goiás'),Pires da Serra
Luigi Barbosa,(084) 1920-9528,271.058.964-85,F,('PB', 'Paraíba'),Monteiro
Calebe Silveira,+55 (061) 7217-0900,918.635.274-19,M,('RO', 'Rondônia'),da Cruz
Francisco da Luz,+55 (051) 0914 8394,289.451.367-46,F,('AM', 'Amazonas'),Correia
João Miguel Campos,+55 81 1614-4225,578.310.694-10,F,('BA', 'Bahia'),Azevedo Verde
Gabrielly Rezende,+55 (051) 5160-0679,580.174.923-32,M,('MS', 'Mato Grosso do Sul'),Freitas de Porto
Luiz Otávio Rodrigues,+55 (061) 0529 2056,648.507.192-01,F,('MT', 'Mato Grosso'),da Conceição
Dr. Luiz Felipe Moraes,+55 81 0299-3408,821.340.659-15,F,('PB', 'Paraíba'),Martins de Minas
Cecília Gonçalves,(061) 8269-4748,710.695.428-49,F,('MT', 'Mato Grosso'),Rodrigues das Pedras
Erick Teixeira,+55 41 0616-4308,750.281.396-95,F,('RO', 'Rondônia'),Melo
Renan Santos,(021) 7552-0969,539.041.628-70,M,('SE', 'Sergipe'),Almeida
Ana Lima,+55 11 1076-4514,405.273.169-70,F,('RR', 'Roraima'),Oliveira
Nicole Moura,(011) 7919 4918,748.923.015-23,F,('MG', 'Minas Gerais'),Rocha
Srta. Carolina Aragão,21 4839-0030,892.560.473-65,F,('PI', 'Piauí'),Azevedo
Luiz Gustavo Campos,81 6037 7327,193.765.082-03,M,('RO', 'Rondônia'),da Paz das Pedras
Rebeca Araújo,(031) 7865-6516,837.596.402-65,F,('AL', 'Alagoas'),Castro
Noah da Paz,+55 (081) 5076 7731,198.647.032-69,M,('PR', 'Paraná'),Aragão do Sul
Pietra Araújo,(061) 9681 4324,813.675.029-77,F,('RR', 'Roraima'),Lima
Ana Carolina Almeida,0900 996 2505,231.967.085-86,M,('BA', 'Bahia'),Martins de Cunha
Matheus Porto,+55 (084) 2127 3773,148.937.506-66,M,('RR', 'Roraima'),da Costa
Luiz Felipe Pires,51 9515 5097,170.653.894-48,F,('CE', 'Ceará'),Duarte
Sr. Thiago Ribeiro,81 4051-1254,324.756.819-00,F,('SP', 'São Paulo'),Silveira
Marcelo Teixeira,+55 (031) 6037 2019,916.258.074-49,M,('AP', 'Amapá'),Correia
Ana Vitória Dias,81 0227 3282,512.340.768-53,M,('MT', 'Mato Grosso'),Araújo de Minas
Beatriz Almeida,51 0414 7443,847.693.105-01,F,('SP', 'São Paulo'),Dias
Maria Eduarda Pinto,0500-746-9582,980.473.526-10,M,('PE', 'Pernambuco'),Aragão de Santos
Srta. Stephany Azevedo,0800 572 1093,932.518.407-97,M,('PR', 'Paraná'),Viana de Moura
Bernardo Cardoso,0500-477-9748,604.189.723-03,F,('SC', 'Santa Catarina'),Pinto
Pedro Lucas Castro,71 8813 5041,986.712.305-03,F,('TO', 'Tocantins'),da Luz
Maria Luiza Santos,+55 (051) 7415-0942,014.832.967-50,M,('AL', 'Alagoas'),Aragão Grande
Laura Cardoso,(071) 8666 7648,548.637.920-00,F,('DF', 'Distrito Federal'),Fogaça do Amparo
Luiz Fernando Rodrigues,+55 (051) 9433-1900,709.364.815-01,F,('MA', 'Maranhão'),Cardoso
Sr. Paulo Vieira,21 2037-6469,674.139.085-57,F,('PA', 'Pará'),Araújo
Dr. Alexandre Novaes,+55 (061) 1510 3988,120.934.768-78,F,('MA', 'Maranhão'),Pereira
Elisa Moraes,(031) 3196-4777,163.794.250-80,M,('MG', 'Minas Gerais'),Viana
Dr. Bernardo Castro,(031) 6414 8922,568.349.201-70,F,('PE', 'Pernambuco'),Campos do Galho
Dr. Rafael Martins,0500-884-8674,590.481.237-04,F,('PE', 'Pernambuco'),Rodrigues de Souza
Heloísa Duarte,+55 31 9050 1305,764.981.023-22,F,('AP', 'Amapá'),da Luz de Correia
Kaique da Luz,0900 403 3377,531.692.704-43,F,('TO', 'Tocantins'),Peixoto da Mata
Eduardo da Paz,(011) 9314-9014,246.870.513-08,F,('RJ', 'Rio de Janeiro'),Nunes
Daniela Teixeira,0500-656-5828,540.389.726-74,F,('TO', 'Tocantins'),Carvalho
Sra. Milena Caldeira,31 4013-8586,652.034.819-89,F,('PR', 'Paraná'),Vieira de Martins
Vitor Gabriel Azevedo,+55 (071) 0099-3456,081.569.347-84,F,('CE', 'Ceará'),da Luz de Ribeiro
Otávio Cardoso,(011) 3887 7670,217.594.083-79,M,('MS', 'Mato Grosso do Sul'),Pereira
Beatriz Pinto,(071) 3480 0235,023.851.976-77,F,('AL', 'Alagoas'),Silva do Oeste
Dr. Heitor Viana,(011) 6084-3750,915.820.643-42,F,('MS', 'Mato Grosso do Sul'),Moreira
Vitor Hugo Azevedo,0900 579 1206,489.613.257-28,M,('AL', 'Alagoas'),da Rosa de Dias
Julia Monteiro,81 0018-9487,581.932.670-95,F,('MS', 'Mato Grosso do Sul'),Oliveira Alegre
Sra. Isabelly Gonçalves,0500-843-0352,129.640.378-50,M,('RR', 'Roraima'),Araújo da Prata
Isabella Pereira,61 2296 9788,469.157.320-80,M,('MT', 'Mato Grosso'),Pereira
Vitor Gabriel Mendes,51 5104 1661,358.260.417-90,M,('PI', 'Piauí'),Rocha de Goiás
Otávio da Paz,+55 (084) 9252-4633,268.910.534-98,F,('PI', 'Piauí'),da Rocha
Sr. Danilo Vieira,71 9641-9293,586.490.217-94,M,('MA', 'Maranhão'),Correia
Miguel Caldeira,+55 21 7039-7338,589.340.617-66,F,('TO', 'Tocantins'),Farias
Dra. Raquel da Cunha,(011) 0373-0432,893.126.705-30,M,('SE', 'Sergipe'),da Rocha
Ana Luiza Barros,84 7979 1918,241.876.905-49,M,('GO', 'Goiás'),Cavalcanti
Dra. Lívia Mendes,(021) 7729 1309,140.562.837-53,F,('SP', 'São Paulo'),Lopes
Paulo Almeida,84 9291 6400,169.738.405-66,F,('MS', 'Mato Grosso do Sul'),Pinto de Nunes
Bernardo Melo,71 7845 0335,523.617.049-43,M,('CE', 'Ceará'),Dias
Bryan Oliveira,+55 51 0759 8939,384.570.621-07,M,('MA', 'Maranhão'),Moraes
Mariana Silva,(041) 7689 6981,074.862.359-00,F,('ES', 'Espírito Santo'),Araújo do Sul
Nicole Lima,+55 (071) 2863-6141,150.734.269-16,M,('AC', 'Acre'),Ramos do Campo
Dr. Thales Silveira,+55 41 9485 2053,968.507.134-93,M,('AC', 'Acre'),Gomes do Norte
Mirella Farias,+55 84 0632 5165,876.293.054-00,F,('RR', 'Roraima'),Novaes
Luiz Otávio Rocha,(061) 1825 9793,743.812.056-26,F,('ES', 'Espírito Santo'),Fogaça de Dias
